source,chunk_id,asset_id,equipment_type,issue_type,text
steel_agent_operating_model.txt,1,ALL,policy,agent workflow,"check traceability, risk classification, safety controls, missing data, RUL uncertainty, spare feasibility, and restart acceptance criteria. Log: write a digital maintenance log entry with decision, evidence, owner, and status. Learn: store engineer feedback, actual root cause, outcome, downtime, and corrected action to improve future recommendations. Hard safety fields such as priority, risk band, RUL, lockout requirement, and escalation route should be deterministic or rule-verified. The LLM is used for synthesis, explanation, planning, and natural-language interaction."
maintenance_history.csv,0,MTR-204,motor,history,Historical maintenance record for MTR-204. Date: 2026-05-02 09:30:00. Issue: Motor temperature rising. Action: Cleaned cooling fins and checked bearing grease. Result: Temporary improvement. Downtime hours: 2.0.
maintenance_history.csv,1,GBX-17,gearbox,history,"Historical maintenance record for GBX-17. Date: 2026-05-08 14:00:00. Issue: Gearbox vibration above warning. Action: Oil sample collected, alignment checked. Result: Bearing wear suspected. Downtime hours: 4.5."
maintenance_history.csv,2,PMP-09,pump,history,Historical maintenance record for PMP-09. Date: 2026-05-14 11:15:00. Issue: Pump cavitation noise. Action: Checked suction strainer and impeller clearance. Result: Suction restriction found. Downtime hours: 3.0.
maintenance_history.csv,3,HPP-12,hydraulic,history,Historical maintenance record for HPP-12. Date: 2026-05-20 16:20:00. Issue: Hydraulic pressure fluctuation. Action: Inspected relief valve and filter. Result: Filter choking observed. Downtime hours: 2.5.
failure_reports.csv,0,MTR-204,motor,failure report,"Failure report for MTR-204. Date: 2026-04-18 07:45:00. Failure mode: Overheating. Root cause: Bearing lubrication degradation. Corrective action: Regrease bearing, inspect load current, clean cooling path. Business impact: Line speed reduction for 3 hours."
failure_reports.csv,1,GBX-17,gearbox,failure report,"Failure report for GBX-17. Date: 2026-04-26 18:10:00. Failure mode: High vibration. Root cause: Bearing pitting and gear mesh misalignment. Corrective action: Replace bearing set, verify coupling alignment. Business impact: Finishing mill delay risk."
failure_reports.csv,2,PMP-09,pump,failure report,"Failure report for PMP-09. Date: 2026-05-04 10:40:00. Failure mode: Cavitation. Root cause: Low suction head due to clogged strainer. Corrective action: Clean strainer, inspect impeller erosion. Business impact: Cooling instability risk."
failure_reports.csv,3,HPP-12,hydraulic,failure report,"Failure report for HPP-12. Date: 2026-05-11 13:05:00. Failure mode: Low pressure. Root cause: Hydraulic oil leakage and filter choking. Corrective action: Replace filter, inspect seals, top up oil. Business impact: Actuator slow response."
spares_inventory.csv,0,MTR-204,motor,spares,Spare inventory for MTR-204. Part: DE bearing 6312. Stock quantity: 2. Procurement lead time days: 5. Spare criticality: Critical. Unit cost INR: 18000.
spares_inventory.csv,1,MTR-204,motor,spares,Spare inventory for MTR-204. Part: Cooling fan kit. Stock quantity: 1. Procurement lead time days: 7. Spare criticality: High. Unit cost INR: 12000.
spares_inventory.csv,2,GBX-17,gearbox,spares,Spare inventory for GBX-17. Part: Gearbox bearing set. Stock quantity: 1. Procurement lead time days: 12. Spare criticality: Critical. Unit cost INR: 85000.
spares_inventory.csv,3,GBX-17,gearbox,spares,Spare inventory for GBX-17. Part: Synthetic gear oil drum. Stock quantity: 4. Procurement lead time days: 2. Spare criticality: High. Unit cost INR: 15000.
spares_inventory.csv,4,PMP-09,pump,spares,Spare inventory for PMP-09. Part: Mechanical seal kit. Stock quantity: 3. Procurement lead time days: 4. Spare criticality: High. Unit cost INR: 22000.
spares_inventory.csv,5,PMP-09,pump,spares,Spare inventory for PMP-09. Part: Impeller assembly. Stock quantity: 1. Procurement lead time days: 10. Spare criticality: Critical. Unit cost INR: 65000.
spares_inventory.csv,6,HPP-12,hydraulic,spares,Spare inventory for HPP-12. Part: Hydraulic filter element. Stock quantity: 6. Procurement lead time days: 3. Spare criticality: High. Unit cost INR: 8000.
spares_inventory.csv,7,HPP-12,hydraulic,spares,Spare inventory for HPP-12. Part: Relief valve cartridge. Stock quantity: 1. Procurement lead time days: 9. Spare criticality: Critical. Unit cost INR: 32000.
delay_logs.csv,0,MTR-204,motor,delay,Delay log for MTR-204. Area: Hot Strip Mill. Delay hours: 3.5. Production impact or delay reason: Reduced motor load due to overheating.
delay_logs.csv,1,GBX-17,gearbox,delay,Delay log for GBX-17. Area: Finishing Mill. Delay hours: 8.0. Production impact or delay reason: Gearbox vibration may stop finishing stand.
delay_logs.csv,2,PMP-09,pump,delay,Delay log for PMP-09. Area: Caster Utility. Delay hours: 5.0. Production impact or delay reason: Cooling water instability can affect caster.
delay_logs.csv,3,HPP-12,hydraulic,delay,Delay log for HPP-12. Area: Plate Mill. Delay hours: 4.0. Production impact or delay reason: Hydraulic low pressure slows actuator cycle.
incident_records.csv,0,MTR-204,motor,incident,Incident record for MTR-204. Severity: High. Incident: Temperature crossed high alarm during peak load. Recommended response: Inspect bearing and cooling path.
incident_records.csv,1,GBX-17,gearbox,incident,Incident record for GBX-17. Severity: Critical. Incident: Repeated vibration spikes during finishing load. Recommended response: Plan immediate vibration inspection.
incident_records.csv,2,PMP-09,pump,incident,Incident record for PMP-09. Severity: High. Incident: Cavitation noise reported by operator. Recommended response: Check suction strainer and pump inlet.
incident_records.csv,3,HPP-12,hydraulic,incident,Incident record for HPP-12. Severity: Medium. Incident: Pressure recovery slow after valve actuation. Recommended response: Inspect filter and relief valve.
asset_health_summary.csv,0,GBX-17,gearbox,current health,Latest asset health for GBX-17. Risk band: CRITICAL. Hybrid failure risk: 0.8218. ML failure risk: 0.6039666217052109. Operational rule score: 100.0. Hybrid health score: 82.17849797673449. Estimated RUL days: 1.0. Temperature: 71.758. Vibration: 11.0. Pressure: 9.798. Alarm count: 3.
asset_health_summary.csv,1,MTR-204,motor,current health,Latest asset health for MTR-204. Risk band: CRITICAL. Hybrid failure risk: 0.7778. ML failure risk: 0.506253720833503. Operational rule score: 100.0. Hybrid health score: 77.78141743750764. Estimated RUL days: 1.0. Temperature: 91.988. Vibration: 5.693. Pressure: 9.056. Alarm count: 3.
asset_health_summary.csv,2,HPP-12,hydraulic,current health,Latest asset health for HPP-12. Risk band: HIGH. Hybrid failure risk: 0.7307. ML failure risk: 0.5359855482732722. Operational rule score: 89.0. Hybrid health score: 73.06934967229725. Estimated RUL days: 1.3. Temperature: 66.402. Vibration: 4.068. Pressure: 4.811. Alarm count: 3.
asset_health_summary.csv,3,PMP-09,pump,current health,Latest asset health for PMP-09. Risk band: HIGH. Hybrid failure risk: 0.7221. ML failure risk: 0.5414205992397916. Operational rule score: 87.0. Hybrid health score: 72.21392696579062. Estimated RUL days: 1.0. Temperature: 60.517. Vibration: 6.586. Pressure: 4.141. Alarm count: 3.
DATA_SOURCES.md,0,ALL,public_dataset,data source,"# Data Sources

## Steel demo data
Synthetic steel maintenance data is generated for four industrial assets:
MTR-204, GBX-17, PMP-09, and HPP-12.

It includes sensor logs, maintenance history, failure reports, delay logs,
incident records, spare inventory, feedback logs, and a digital logbook.

## Public AI4I benchmark
The AI4I 2020 Predictive Maintenance dataset is used only as an external
public benchmark to demonstrate ML validation.

Leakage control:
- `Machine failure` is used only as the supervised target label.
- Failure subtype labels such as TWF, HDF, PWF, OSF, and RNF are not used as model features.
- Sensor proxy fields are engineered only from non-target process variables.
- The steel app decision layer uses a separate steel demo model plus operational rules.
"
